gene	ensg	dataset	study_id	study	tissue	quant	n	n_cs	max_pip	n_mtid	best_mtid
PCSK9	ENSG00000169174	QTD000122	QTS000015	GTEx	adipose (visceral)	exon	469	5	0.5229	1	ENSG00000169174.11_1_55063529_55064797
PCSK9	ENSG00000169174	QTD000337	QTS000015	GTEx	testis	exon	322	1	0.9954	1	ENSG00000169174.11_1_55063529_55064797
PCSK9	ENSG00000169174	QTD000362	QTS000016	HipSci	iPSC	exon	322	29	0.7203	2	ENSG00000169174.11_1_55058499_55058647
PCSK9	ENSG00000169174	QTD000167	QTS000015	GTEx	brain (cerebellum)	exon	209	5	0.3479	1	ENSG00000169174.11_1_55064798_55064850
PCSK9	ENSG00000169174	QTD000367	QTS000017	iPSCORE	iPSC	exon	101	9	0.9851	1	ENSG00000169174.11_1_55058499_55058647
PCSK9	ENSG00000169174	QTD000400	QTS000023	PhLiPS	iPSC	exon	83	15	0.9996	2	ENSG00000169174.11_1_55040295_55040403
PCSK9	ENSG00000169174	QTD000286	QTS000015	GTEx	tibial nerve	ge	532	2	0.7607	1	ENSG00000169174
PCSK9	ENSG00000169174	QTD000271	QTS000015	GTEx	lung	ge	510	3	0.404	1	ENSG00000169174
PCSK9	ENSG00000169174	QTD000121	QTS000015	GTEx	adipose (visceral)	ge	469	5	0.3056	1	ENSG00000169174
PCSK9	ENSG00000169174	QTD000336	QTS000015	GTEx	testis	ge	322	1	0.9998	1	ENSG00000169174
PCSK9	ENSG00000169174	QTD000579	QTS000034	Walker_2019	neocortex	ge	211	3	0.5079	1	ENSG00000169174
PCSK9	ENSG00000169174	QTD000166	QTS000015	GTEx	brain (cerebellum)	ge	209	5	0.2947	1	ENSG00000169174
PCSK9	ENSG00000169174	QTD000366	QTS000017	iPSCORE	iPSC	ge	101	2	0.9674	1	ENSG00000169174
PCSK9	ENSG00000169174	QTD000399	QTS000023	PhLiPS	iPSC	ge	83	8	0.3316	1	ENSG00000169174
PCSK9	ENSG00000169174	QTD000124	QTS000015	GTEx	adipose (visceral)	txrev	469	11	0.2438	1	ENSG00000169174.grp_2.downstream.ENST00000673903
PCSK9	ENSG00000169174	QTD000269	QTS000015	GTEx	liver	txrev	208	4	0.9689	2	ENSG00000169174.grp_2.upstream.ENST00000302118
